City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
ust-koksa,RU,50.2696,85.6108,26.13,48,43,1.36,1666716833
axim,GH,4.8699,-2.2405,80.83,78,98,8.1,1666716833
la ronge,CA,55.1001,-105.2842,30.45,69,100,3.44,1666716834
ribeira grande,PT,38.5167,-28.7,66.78,59,40,13.8,1666716835
fujin,CN,47.26,132.0322,37.22,62,6,10.42,1666716835
torbay,CA,47.6666,-52.7314,64.27,62,20,17.27,1666716835
sibolga,ID,1.7427,98.7792,77.02,90,100,2.33,1666716836
kushmurun,KZ,52.4503,64.6311,33.66,78,100,8.16,1666716836
coahuayana,MX,18.7333,-103.6833,85.42,70,41,3.58,1666716836
muros,ES,42.7762,-9.0603,66.09,82,40,19.57,1666716838
ulladulla,AU,-35.35,150.4667,62.91,75,70,6.64,1666716838
hamilton,US,39.1834,-84.5333,76.19,50,75,13.8,1666716690
cherskiy,RU,68.75,161.3,-4.99,92,35,7.0,1666716839
viedma,AR,-40.8135,-62.9967,83.48,19,100,9.37,1666716839
vaini,TO,-21.2,-175.2,69.96,73,75,5.75,1666716839
yulara,AU,-25.2406,130.9889,70.32,24,0,12.64,1666716840
ilulissat,GL,69.2167,-51.1,28.17,96,100,1.81,1666716840
filingue,NE,14.3521,3.3168,97.97,15,5,9.44,1666716841
east london,ZA,-33.0153,27.9116,68.94,60,0,18.41,1666716841
bengkulu,ID,-3.8004,102.2655,74.59,93,100,7.87,1666716841
vestmannaeyjar,IS,63.4427,-20.2734,45.59,81,100,13.8,1666716842
kruisfontein,ZA,-34.0033,24.7314,62.89,78,91,16.02,1666716842
hobart,AU,-42.8794,147.3294,55.26,96,100,14.97,1666716724
thompson,CA,55.7435,-97.8558,28.56,86,100,14.97,1666716843
lebu,CL,-37.6167,-73.65,58.77,74,100,12.5,1666716843
hammerfest,NO,70.6634,23.6821,32.45,69,0,3.44,1666716844
golovino,RU,55.9613,40.4251,31.19,81,66,1.45,1666716844
hilo,US,19.7297,-155.09,72.25,95,38,7.0,1666716830
concordia,AR,-31.393,-58.0209,80.78,42,0,5.99,1666716844
hasaki,JP,35.7333,140.8333,54.21,63,100,34.18,1666716845
adrar,MR,20.5022,-10.0711,90.63,10,97,11.7,1666716845
nuevitas,CU,21.5453,-77.2644,85.14,55,2,5.68,1666716846
inhambane,MZ,-23.865,35.3833,80.58,78,40,17.27,1666716846
stayner,CA,44.4183,-80.096,67.53,72,100,3.44,1666716847
griffith,US,41.5284,-87.4237,60.12,95,100,3.44,1666716847
jeremie,HT,18.65,-74.1167,83.79,68,2,3.78,1666716847
henties bay,NA,-22.116,14.2845,60.15,87,28,9.35,1666716848
kahului,US,20.8947,-156.47,78.84,87,1,5.99,1666716848
georgetown,MY,5.4112,100.3354,78.89,95,40,5.01,1666716571
pevek,RU,69.7008,170.3133,1.0,91,20,8.86,1666716849
berbera,SO,10.4396,45.0143,84.25,63,28,7.58,1666716849
brejo,BR,-3.6844,-42.7503,94.86,38,77,3.47,1666716851
saint anthony,US,45.0205,-93.218,42.22,73,35,1.99,1666716851
cap-aux-meules,CA,47.3821,-61.8597,57.25,100,100,11.5,1666716852
tuktoyaktuk,CA,69.4541,-133.0374,12.2,85,75,2.3,1666716852
alim,PH,9.5649,122.4876,79.77,82,99,3.69,1666716852
melfi,IT,40.9965,15.6514,68.7,58,17,7.65,1666716853
qeshm,IR,26.9581,56.2719,85.87,65,0,9.75,1666716853
ardakan,IR,32.31,54.0175,73.85,24,76,5.1,1666716853
rzhyshchiv,UA,49.9689,31.0463,54.3,95,100,4.09,1666716854
hami,CN,42.8,93.45,51.67,37,58,3.15,1666716854
carnarvon,AU,-24.8667,113.6333,65.41,67,0,24.52,1666716812
tocopilla,CL,-22.092,-70.1979,66.72,62,12,7.7,1666716855
nogliki,RU,51.8333,143.1667,34.0,83,61,10.74,1666716855
cap malheureux,MU,-19.9842,57.6142,73.47,67,0,5.99,1666716857
castro,BR,-24.7911,-50.0119,76.21,48,22,2.28,1666716663
pemba,MZ,-12.974,40.5178,77.7,83,20,14.0,1666716859
acapulco,MX,16.8634,-99.8901,83.93,77,47,5.01,1666716726
chuy,UY,-33.6971,-53.4616,70.23,59,1,10.22,1666716859
ponta do sol,PT,32.6667,-17.1,75.83,87,78,6.02,1666716860
morozovsk,RU,48.3539,41.8261,46.24,76,33,4.23,1666716860
ambon,ID,-3.6954,128.1814,78.94,94,20,5.75,1666716860
westport,US,41.1415,-73.3579,74.01,88,92,1.99,1666716761
rajauri,IN,33.3833,74.3,61.79,45,1,5.35,1666716861
qasigiannguit,GL,68.8193,-51.1922,29.03,97,100,9.35,1666716862
xacmaz,AZ,41.4635,48.806,56.61,67,99,4.52,1666716862
northam,GB,51.0333,-4.2167,59.61,90,85,19.19,1666716863
anori,BR,-3.7728,-61.6442,91.04,53,100,2.82,1666716863
sandwick,GB,60.0,-1.25,51.62,93,20,5.75,1666716864
manggar,ID,-2.8833,108.2667,78.35,88,100,5.3,1666716864
kungurtug,RU,50.5994,97.5228,20.41,44,0,1.45,1666716864
susanville,US,40.4163,-120.653,48.9,66,99,3.0,1666716800
abnub,EG,27.2696,31.1511,77.22,32,57,12.91,1666716865
valparaiso,CL,-33.0393,-71.6273,62.24,88,75,10.36,1666716865
fernley,US,39.608,-119.2518,58.69,52,70,5.01,1666716865
camabatela,AO,-8.1881,15.375,67.91,87,57,1.72,1666716866
saint-jean-de-maurienne,FR,45.1667,6.5833,44.24,67,93,4.5,1666716867
bambous virieux,MU,-20.3428,57.7575,73.65,73,40,11.5,1666716868
kavieng,PG,-2.5744,150.7967,81.55,78,100,6.24,1666716868
upernavik,GL,72.7868,-56.1549,25.02,95,100,14.7,1666716868
kihei,US,20.785,-156.4656,78.84,77,0,13.8,1666716737
kenai,US,60.5544,-151.2583,31.14,82,0,4.61,1666716869
nikolskoye,RU,59.7035,30.7861,37.29,71,97,7.65,1666716869
alta floresta,BR,-9.8756,-56.0861,82.22,78,75,3.44,1666716869
naze,JP,28.3667,129.4833,68.92,58,77,18.59,1666716870
tiksi,RU,71.6872,128.8694,17.04,92,100,7.25,1666716870
kabanga,TZ,-2.6386,30.4678,68.02,58,100,1.52,1666716871
san quintin,MX,30.4833,-115.95,68.92,32,0,3.11,1666716872
kavaratti,IN,10.5669,72.642,82.62,60,35,9.89,1666716872
herat,AF,34.5,62.0,59.67,54,55,15.32,1666716873
buala,SB,-8.145,159.5921,78.75,83,2,3.13,1666716873
bredasdorp,ZA,-34.5322,20.0403,61.36,81,57,11.52,1666716874
soyo,AO,-6.1349,12.3689,78.51,85,71,9.08,1666716874
logan,US,41.7355,-111.8344,45.99,65,100,3.0,1666716874
ahipara,NZ,-35.1667,173.1667,53.19,90,74,6.89,1666716875
karratha,AU,-20.7377,116.8463,73.78,68,0,13.2,1666716875
port alfred,ZA,-33.5906,26.891,65.17,80,95,5.01,1666716876
marawi,PH,7.9986,124.2928,67.96,94,66,1.21,1666716876
dingle,PH,10.9995,122.6711,76.5,91,100,5.19,1666716877
muisne,EC,0.6,-80.0333,77.68,75,97,11.77,1666716878
nizwa,OM,22.9333,57.5333,80.6,25,0,2.91,1666716878
onufriyivka,UA,48.9072,33.4487,57.09,82,100,9.78,1666716879
tuatapere,NZ,-46.1333,167.6833,41.79,92,99,4.92,1666716879
santa isabel do rio negro,BR,-0.4139,-65.0192,97.59,40,56,1.92,1666716880
denizli,TR,37.8402,29.0698,63.41,33,0,1.23,1666716880
diamantino,BR,-14.4086,-56.4461,91.94,44,59,3.09,1666716881
riyadh,SA,24.6877,46.7219,84.34,14,0,6.35,1666716772
korla,CN,41.7597,86.1469,50.56,40,94,1.48,1666716881
quesnel,CA,52.9999,-122.5029,28.9,100,0,0.0,1666716882
aguimes,ES,27.9054,-15.4461,74.03,73,20,16.11,1666716882
cayenne,GF,4.9333,-52.3333,89.64,58,75,10.36,1666716670
skibbereen,IE,51.55,-9.2667,58.1,98,99,13.98,1666716883
provideniya,RU,64.3833,-173.3,21.74,85,91,13.82,1666716883
havoysund,NO,70.9963,24.6622,35.83,64,91,5.48,1666716884
mandalgovi,MN,45.7625,106.2708,21.72,62,0,10.13,1666716885
los llanos de aridane,ES,28.6585,-17.9182,71.35,87,75,3.44,1666716834
asfi,MA,32.2994,-9.2372,73.02,62,100,4.27,1666716886
yzeure,FR,46.5644,3.355,63.12,64,100,5.41,1666716887
bubaque,GW,11.2833,-15.8333,84.45,73,40,9.78,1666716888
mehamn,NO,71.0357,27.8492,35.55,69,75,10.36,1666716888
alofi,NU,-19.0595,-169.9187,60.69,88,71,1.14,1666716888
san patricio,US,28.017,-97.5169,71.17,32,0,16.13,1666716889
victoria,HK,22.2855,114.1577,75.38,73,100,13.0,1666716889
natal,BR,-5.795,-35.2094,84.85,61,75,19.57,1666716889
kaeo,NZ,-35.1,173.7833,54.63,85,69,7.25,1666716614
takoradi,GH,4.8845,-1.7554,80.69,82,81,10.16,1666716890
bryan,US,30.6744,-96.37,67.82,43,0,18.41,1666716723
amapa,BR,1.0,-52.0,98.56,29,73,4.25,1666716891
bhabua,IN,25.05,83.6167,68.63,51,0,5.01,1666716891
praia,CV,14.9215,-23.5087,84.74,65,40,14.97,1666716639
oxford,GB,51.7522,-1.256,60.19,84,20,8.05,1666716877
klaksvik,FO,62.2266,-6.589,50.92,91,95,11.79,1666716892
mahebourg,MU,-20.4081,57.7,73.69,73,40,11.5,1666716606
waling,NP,27.9833,83.7667,61.27,92,0,3.0,1666716892
elat,IL,29.5581,34.9482,82.24,44,40,2.3,1666716892
opuwo,NA,-18.0607,13.84,85.98,22,85,11.01,1666716893
lavrentiya,RU,65.5833,-171.0,26.38,84,99,11.59,1666716893
porto novo,BJ,6.4965,2.6036,78.62,75,99,6.53,1666716893
khetri,IN,27.9833,75.8,73.83,27,0,2.15,1666716894
tateyama,JP,34.9833,139.8667,55.33,71,75,20.71,1666716894
hambantota,LK,6.1241,81.1185,78.66,82,77,5.21,1666716895
juneau,US,58.3019,-134.4197,38.21,100,75,0.0,1666716876
atar,MR,20.5169,-13.0499,93.52,26,100,1.88,1666716829
carutapera,BR,-1.195,-46.02,87.44,56,90,9.06,1666716896
hofn,IS,64.2539,-15.2082,41.95,83,100,18.63,1666716897
derzhavinsk,KZ,51.1,66.3167,39.25,51,100,7.65,1666716898
puerto carreno,CO,6.189,-67.4859,85.98,70,20,3.44,1666716898
port augusta,AU,-32.5,137.7667,60.39,86,89,9.73,1666716900
nelson bay,AU,-32.7167,152.15,66.0,94,18,4.0,1666716602
cidreira,BR,-30.1811,-50.2056,69.48,64,20,13.13,1666716844
prieska,ZA,-29.6641,22.7474,79.59,6,96,14.36,1666716900
porto nacional,BR,-10.7081,-48.4172,73.4,50,98,5.46,1666716684
guerrero negro,MX,27.9769,-114.0611,72.21,35,0,2.35,1666716901
kyabram,AU,-36.3167,145.05,55.29,98,21,7.47,1666716901
agadez,NE,19.75,10.25,76.57,11,2,9.57,1666716902
roma,US,43.2128,-75.4557,72.66,82,90,1.99,1666716902
marsh harbour,BS,26.5412,-77.0636,79.34,67,10,11.99,1666716902
artigas,UY,-30.4,-56.4667,81.12,35,2,12.8,1666716902
chernyshevskiy,RU,63.0128,112.4714,26.83,79,98,11.52,1666716903
semikarakorsk,RU,47.5194,40.8112,53.15,64,49,4.45,1666716903
lagunas,PE,-5.2269,-75.6753,95.83,39,77,3.89,1666716904
arraial do cabo,BR,-22.9661,-42.0278,80.56,73,40,14.97,1666716816
puerto cabezas,NI,14.0351,-83.3888,85.96,70,75,6.91,1666716904
neiafu,TO,-18.65,-173.9833,72.28,73,40,1.14,1666716905
chara,RU,56.9064,118.2631,18.99,63,88,2.82,1666716905
maldonado,UY,-34.6667,-54.9167,76.39,49,19,9.19,1666716905
geraldton,AU,-28.7667,114.6,54.01,82,0,8.05,1666716761
evensk,RU,61.95,159.2333,28.47,79,100,10.33,1666716906
necochea,AR,-38.5473,-58.7368,74.84,53,100,3.78,1666716665
grindavik,IS,63.8424,-22.4338,46.35,87,75,9.22,1666716907
gigmoto,PH,13.7796,124.39,81.19,85,88,12.91,1666716907
pallapatti,IN,11.6593,78.1342,72.9,64,4,4.92,1666716907
chokurdakh,RU,70.6333,147.9167,3.87,91,100,3.87,1666716908
ascension,US,30.2169,-90.9001,73.4,53,75,8.05,1666716909
touros,BR,-5.1989,-35.4608,83.95,62,30,15.82,1666716910
kodiak,US,57.79,-152.4072,42.31,65,100,3.44,1666716855
hosanagara,IN,13.9167,75.0667,66.09,82,15,2.8,1666716911
talnakh,RU,69.4865,88.3972,9.59,97,99,2.59,1666716912
avera,US,33.194,-82.5271,76.55,39,20,5.3,1666716853
comodoro rivadavia,AR,-45.8667,-67.5,64.26,39,20,16.11,1666716912
mmabatho,ZA,-25.85,25.6333,85.96,14,0,11.5,1666716913
palmer,US,42.1584,-72.3287,68.25,93,100,1.99,1666716913
katsuura,JP,35.1333,140.3,55.42,82,100,27.04,1666716914
christchurch,NZ,-43.5333,172.6333,48.9,89,27,4.0,1666716914
vesyegonsk,RU,58.664,37.2604,31.98,78,45,4.34,1666716914
marzuq,YE,14.4,46.4667,72.09,42,4,3.6,1666716915
biak,ID,-0.9131,122.8766,77.02,84,82,2.28,1666716916
victor harbor,AU,-35.5667,138.6167,55.99,91,99,7.4,1666716917
marechal candido rondon,BR,-24.5561,-54.0567,82.08,54,0,7.47,1666716878
sinnamary,GF,5.3833,-52.95,81.54,78,100,6.55,1666716917
vestmanna,FO,62.1564,-7.1664,49.12,93,75,10.36,1666716918
masterton,NZ,-40.9597,175.6575,47.88,94,14,2.66,1666716918
komsomolskiy,UZ,40.4272,71.7189,54.32,87,100,2.3,1666716872
belen,TR,36.4891,36.2233,66.09,32,0,2.75,1666716919
zhukovo,RU,55.0318,36.744,33.87,81,33,4.21,1666716919
saskylakh,RU,71.9167,114.0833,3.25,96,98,5.57,1666716913
larap,PH,14.299,122.6504,78.84,91,97,14.92,1666716920
sao pedro do sul,BR,-29.6206,-54.1789,77.65,39,2,7.72,1666716920
constantine,DZ,36.365,6.6147,78.21,18,0,5.75,1666716921
college,US,64.8569,-147.8028,20.21,89,75,4.61,1666716921
padang,ID,-0.9492,100.3543,75.25,87,100,2.04,1666716922
buchanan,LR,5.8808,-10.0467,80.98,79,62,5.17,1666716922
dunedin,NZ,-45.8742,170.5036,45.81,84,99,4.92,1666716923
maceio,BR,-9.6658,-35.7353,85.44,65,75,16.11,1666716923
whitehorse,CA,60.7161,-135.0538,18.37,78,100,6.91,1666716925
vao,NC,-22.6667,167.4833,72.81,78,100,21.05,1666716925
hervey bay,AU,-25.2986,152.8535,75.02,96,78,11.01,1666716926
kieta,PG,-6.2167,155.6333,78.78,85,25,1.79,1666716926
port hardy,CA,50.6996,-127.4199,44.78,93,100,5.75,1666716928
mogzon,RU,51.7435,111.9606,19.69,74,1,5.3,1666716928
gamba,GA,-2.65,10.0,78.42,85,93,7.45,1666716929
beringovskiy,RU,63.05,179.3167,25.43,88,100,15.82,1666716929
codrington,AU,-38.2667,141.9667,57.27,93,100,8.19,1666716929
yellowknife,CA,62.456,-114.3525,23.52,86,75,11.5,1666716932
puerto escondido,MX,15.85,-97.0667,84.88,73,88,6.08,1666716655
khvoynaya,RU,58.9,34.5333,30.85,89,37,5.21,1666716932
itoman,JP,26.1247,127.6694,69.82,62,75,10.36,1666716933
nanortalik,GL,60.1432,-45.2371,35.92,72,8,4.97,1666716873
piacabucu,BR,-10.4056,-36.4344,83.26,64,56,14.83,1666716933
mandera,KE,3.9366,41.867,88.61,45,100,6.8,1666716934
gat,IL,31.61,34.7642,83.08,39,26,2.75,1666716934
paragominas,BR,-2.9667,-47.4833,90.07,51,97,1.21,1666716934
boromo,BF,11.75,-2.9333,94.05,23,13,5.23,1666716935
pishin,PK,30.5803,66.9961,62.85,25,4,2.28,1666716935
leningradskiy,RU,69.3833,178.4167,3.31,90,45,4.97,1666716935
oksfjord,NO,70.2396,22.3479,33.98,69,89,5.44,1666716936
riberalta,BO,-10.9833,-66.1,89.8,62,75,9.22,1666716936
stonewall,CA,50.1344,-97.3268,36.72,65,97,13.27,1666716936
upata,VE,8.0086,-62.3989,89.19,73,97,2.19,1666716937
narsaq,GL,60.9167,-46.05,30.61,71,8,3.31,1666716937
krasnyy chikoy,RU,50.3643,108.7512,20.46,69,0,3.18,1666716938
toppenish,US,46.3774,-120.3087,49.87,55,93,4.81,1666716938
tura,IN,25.5198,90.2201,63.59,95,19,3.62,1666716938
sitka,US,57.0531,-135.33,38.86,85,25,2.59,1666716838
sorong,ID,-0.8833,131.25,79.25,85,85,5.73,1666716939
kyzyl-suu,KG,42.3414,78.0056,44.64,51,39,7.78,1666716940
maarianhamina,AX,60.0973,19.9348,49.86,100,100,4.61,1666716940
forio,IT,40.7342,13.8646,70.09,89,65,2.95,1666716941
abu dhabi,AE,24.4667,54.3667,86.11,62,0,5.75,1666716941
togur,RU,58.3631,82.8265,31.96,68,92,15.17,1666716941
damghan,IR,36.1683,54.348,58.08,54,28,1.79,1666716942
podujevo,XK,42.9106,21.1931,66.4,63,56,4.52,1666716942
ratnagiri,IN,16.9833,73.3,75.88,73,0,5.91,1666716942
cabo san lucas,MX,22.8909,-109.9124,84.06,59,23,3.56,1666716943
gobabis,NA,-22.45,18.9667,86.5,13,15,13.65,1666716919
meulaboh,ID,4.1363,96.1285,77.88,87,100,3.91,1666716859
nabire,ID,-3.3667,135.4833,75.52,91,71,3.02,1666716943
palana,RU,59.1167,159.9667,29.89,88,99,27.45,1666716944
la romana,DO,18.4273,-68.9728,81.52,72,100,9.6,1666716944
mossendjo,CG,-2.9506,12.7261,72.3,94,98,1.01,1666716945
cascais,PT,38.6979,-9.4215,71.94,88,20,14.0,1666716808
shirokiy,RU,49.758,129.523,36.23,55,82,8.86,1666716945
buckingham,GB,51.9997,-0.9878,59.23,84,61,3.0,1666716945
srandakan,ID,-7.9386,110.2506,77.67,83,100,4.79,1666716946
charters towers,AU,-20.1,146.2667,76.96,76,7,5.35,1666716946
longkou,CN,37.6508,120.3286,57.88,72,80,15.93,1666716720
najran,SA,17.4924,44.1277,77.65,22,11,5.86,1666716891
aykhal,RU,66.0,111.5,15.44,93,77,17.87,1666716947
la reforma,MX,25.0833,-108.05,81.21,53,20,3.38,1666716947
zhangye,CN,38.9342,100.4517,47.95,37,19,2.06,1666716947
gimli,CA,50.6336,-96.9907,33.82,75,71,10.36,1666716948
olinda,BR,-8.0089,-34.8553,82.13,65,75,10.36,1666716948
salalah,OM,17.0151,54.0924,78.08,64,0,3.8,1666716901
rassvet,RU,46.8333,40.75,53.8,58,45,4.94,1666716949
akyab,MM,20.15,92.9,78.04,82,42,5.46,1666716949
vilhena,BR,-12.7406,-60.1458,75.42,88,75,9.22,1666716953
udachnyy,RU,66.4167,112.4,8.82,95,30,7.52,1666716953
kemijarvi,FI,66.7131,27.4306,30.31,79,96,6.2,1666716954
mayya,RU,61.7333,130.2811,25.92,92,66,8.84,1666716955
tamiahua,MX,21.2667,-97.45,81.34,82,98,16.51,1666716955
porto belo,BR,-27.1578,-48.5531,79.79,68,19,8.95,1666716956
nhulunbuy,AU,-12.2333,136.7667,81.21,83,40,8.05,1666716956
saldanha,ZA,-33.0117,17.9442,66.25,79,80,18.52,1666716956
copiapo,CL,-27.3667,-70.3333,53.29,36,79,5.46,1666716957
satoraljaujhely,HU,48.4,21.6667,58.15,88,45,3.09,1666716957
maningrida,AU,-12.0667,134.2667,82.87,80,71,8.12,1666716958
cabedelo,BR,-6.9811,-34.8339,79.47,62,56,13.58,1666716755
roding,DE,49.1964,12.5186,56.8,86,59,1.23,1666716958
campana,AR,-34.1687,-58.9591,86.23,48,96,9.33,1666716958
irbeyskoye,RU,55.6428,95.4522,29.75,63,9,3.69,1666716959
alto araguaia,BR,-17.3147,-53.2153,94.55,26,2,4.97,1666716959
sept-iles,CA,50.2001,-66.3821,55.92,81,75,4.61,1666716922
asau,RO,46.4333,26.4,58.28,89,99,1.41,1666716960
balakhta,RU,55.38,91.6,31.23,60,7,2.86,1666716960
diffa,NE,13.3154,12.6113,87.26,17,22,10.67,1666716960
surab,PK,28.4914,66.2585,62.47,26,16,5.91,1666716961
katete,UG,-0.7818,29.7544,64.44,86,99,0.45,1666716961
rio gallegos,AR,-51.6226,-69.2181,50.05,37,0,23.02,1666716961
sobolevo,RU,54.4299,31.8996,44.24,88,100,8.01,1666716962
nouadhibou,MR,20.931,-17.0347,73.38,78,20,16.11,1666716962
fairbanks,US,64.8378,-147.7164,21.16,91,40,8.05,1666716722
bilibino,RU,68.0546,166.4372,-15.92,99,20,4.14,1666716963
ancud,CL,-41.8697,-73.8203,55.56,77,93,13.6,1666716873
strezhevoy,RU,60.7333,77.5889,33.57,93,100,14.03,1666716899
doha,QA,25.2867,51.5333,85.98,58,0,3.44,1666716716
sawtell,AU,-30.3833,153.1,62.19,94,70,3.44,1666716964
hateg,RO,45.6167,22.95,59.27,85,98,2.71,1666716964
khakhea,BW,-24.6895,23.494,74.84,46,72,21.47,1666716964
luderitz,NA,-26.6481,15.1594,65.25,65,94,20.98,1666716965
san cristobal,VE,7.7669,-72.225,78.98,42,45,4.59,1666716965
rabo de peixe,PT,37.8,-25.5833,66.27,86,75,12.66,1666716965
yangambi,CD,0.8102,24.4336,74.98,87,100,1.19,1666716966
rongcheng,CN,30.634,117.8517,60.67,60,100,3.24,1666716967
nuuk,GL,64.1835,-51.7216,32.88,81,95,4.0,1666716833
hovd,MN,48.0056,91.6419,23.22,65,32,1.03,1666716967
kalengwa,ZM,-13.4659,25.0027,75.92,40,35,3.04,1666716968
sistranda,NO,63.7256,8.834,48.16,83,100,10.8,1666716930
saint-francois,FR,46.4154,3.9054,63.84,68,0,4.61,1666716819
sumbe,AO,-11.2061,13.8437,77.9,81,8,8.84,1666716968
tingi,TZ,-11.3,35.0333,76.1,35,81,5.99,1666716969
fergus falls,US,46.283,-96.0776,42.06,74,75,11.01,1666716672
japura,ID,-0.3167,102.35,74.57,97,100,3.36,1666716969
qaqortoq,GL,60.7167,-46.0333,34.05,67,7,4.29,1666716969
panjab,AF,34.388,67.0233,41.86,42,2,5.28,1666716970
molina,CL,-35.1167,-71.2833,65.93,55,75,8.05,1666716970
santa cruz,BO,-17.8,-63.1667,93.25,40,20,18.41,1666716944
sola,VU,-13.8833,167.55,78.58,77,1,2.59,1666716971
saint george,US,37.1041,-113.5841,52.43,47,0,1.43,1666716971
chagoda,RU,59.164,35.3285,31.66,90,24,4.63,1666716972
arinos,BR,-15.9169,-46.1056,98.82,21,21,3.85,1666716972
